Departamento	ID Colaborador	Nome	Data	Hora
RH	1	Joao Silva	01/10/2023	08:00:00
RH	1	Joao Silva	01/10/2023	12:00:00
RH	1	Joao Silva	01/10/2023	13:00:00
RH	1	Joao Silva	01/10/2023	17:00:00
RH	1	Joao Silva	02/10/2023	08:15:00
RH	1	Joao Silva	02/10/2023	12:10:00
RH	1	Joao Silva	02/10/2023	13:05:00
RH	1	Joao Silva	02/10/2023	17:30:00
FIN	2	Maria Souza	01/10/2023	09:00:00
FIN	2	Maria Souza	01/10/2023	12:30:00
FIN	2	Maria Souza	01/10/2023	13:30:00
FIN	2	Maria Souza	01/10/2023	18:00:00
FIN	2	Maria Souza	02/10/2023	09:05:00
FIN	2	Maria Souza	02/10/2023	18:10:00
RH	1	Joao Silva	03/10/2023	08:00:00
RH	1	Joao Silva	03/10/2023	12:00:00
RH	1	Joao Silva	03/10/2023	13:00:00
RH	1	Joao Silva	03/10/2023	17:00:00
RH	1	Joao Silva	03/10/2023	18:00:00
